Name,Last Updated,Module,Type
1.0 Set Up,"April 5, 2024 1:05 PM",Module 1,Dashboard
2.0 Memory,"April 5, 2024 1:05 PM",Module 2,Dashboard
3.0 Streaming:,"April 5, 2024 1:05 PM",Module 3,Dashboard
4.0 Chat with PDFs,"April 5, 2024 1:05 PM",Module 4,Dashboard
5.0 YouTube Video Chatbot,"April 5, 2024 1:05 PM",Module 5,Dashboard
6.0 AI Content Generator,"April 5, 2024 1:05 PM",Module 6,Dashboard
7.0 Resume Reader: High Level Overview,"April 5, 2024 1:05 PM",Module 7,Dashboard
Supabase ⚡️: Alternative to Pinecone,"April 5, 2024 1:05 PM",,Dashboard
8.0 Deploying Your Project,"April 5, 2024 1:05 PM",,Dashboard
,"April 5, 2024 1:05 PM",,Dashboard
Additional: Optimizing Chunk Size and Overlap,"April 5, 2024 1:05 PM",,
1.3 VS Code Extensions,"April 5, 2024 1:05 PM",Module 1,Notes
1.7 Settings,"April 5, 2024 1:05 PM",Module 1,Notes
1.4 VS Code Extensions Cont.,"April 5, 2024 1:05 PM",Module 1,Notes
Setting API Keys for Windows,"April 5, 2024 1:05 PM",,
"1.5 Troubleshooting with GPT, AI, Discord","April 5, 2024 1:05 PM",Module 1,Notes
1.6.2 API Keys Cont,"April 5, 2024 1:05 PM",Module 1,Notes
1.6.1 API Keys,"April 5, 2024 1:05 PM",Module 1,Notes
1.2 How to Start a Server,"April 5, 2024 1:05 PM",Module 1,Notes
1.1 Project Setup Guide,"April 5, 2024 1:05 PM",Module 1,Notes
Troubleshooting npm issues,"April 5, 2024 1:05 PM",,
Additional: How NextJS Works,"April 5, 2024 1:05 PM",,
