Name,Last Updated,Module,Type
1.0 Set Up,"April 5, 2024 1:05 PM",Module 1,Dashboard
2.0 Memory,"April 5, 2024 1:05 PM",Module 2,Dashboard
3.0 Streaming:,"April 5, 2024 1:05 PM",Module 3,Dashboard
4.0 Chat with PDFs,"April 5, 2024 1:05 PM",Module 4,Dashboard
5.0 YouTube Video Chatbot,"April 5, 2024 1:05 PM",Module 5,Dashboard
6.0 AI Content Generator,"April 5, 2024 1:05 PM",Module 6,Dashboard
7.0 Resume Reader: High Level Overview,"April 5, 2024 1:05 PM",Module 7,Dashboard
Supabase ⚡️: Alternative to Pinecone,"April 5, 2024 1:05 PM",,Dashboard
8.0 Deploying Your Project,"April 5, 2024 1:05 PM",,Dashboard
,"April 5, 2024 1:05 PM",,Dashboard
